,Codi,Literal,De lloguer,Any,De propietat
151,080291,Cabrera de Mar,151,2001,1004
152,080305,Cabrils,212,2001,1339
153,170329,Cadaqués,183,2001,535
154,080312,Calaf,157,2001,860
155,430379,Calafell,585,2001,4570
156,080348,Calders,47,2001,216
157,080327,Caldes d'Estrac,127,2001,594
158,170335,Caldes de Malavella,141,2001,1238
159,080333,Caldes de Montbui,853,2001,3698
160,080351,Calella,920,2001,3912
161,080370,Calldetenes,55,2001,519
162,080386,Callús,122,2001,334
163,080364,Calonge de Segarra,0,2001,52
164,170340,Calonge i Sant Antoni,453,2001,3157
165,250621,Camarasa,19,2001,256
166,439039,Camarles,56,2001,798
167,430385,Cambrils,1017,2001,6263
168,170353,Camós,11,2001,159
169,170366,Campdevànol,186,2001,986
170,170372,Campelles,5,2001,36
171,080399,Campins,26,2001,75
172,170388,Campllong,22,2001,78
173,170391,Camprodon,162,2001,669
174,250637,Canejan,3,2001,42
175,170405,Canet d'Adri,42,2001,145
176,080403,Canet de Mar,484,2001,3103
177,080410,Canovelles,532,2001,3565
178,080425,Cànoves i Samalús,37,2001,563
179,170412,Cantallops,12,2001,83
180,080431,Canyelles,36,2001,735
181,430398,Capafonts,3,2001,49
182,430402,Capçanes,7,2001,141
183,080446,Capellades,246,2001,1310
184,170427,Capmany,28,2001,136
185,080459,Capolat,7,2001,16
186,080462,Cardedeu,718,2001,3463
187,080478,Cardona,581,2001,1254
188,080484,Carme,27,2001,197
189,430419,Caseres,6,2001,104
190,170448,Cassà de la Selva,354,2001,2247
191,080497,Casserres,96,2001,278
192,080575,Castell de l'Areny,4,2001,20
193,259046,Castell de Mur,4,2001,54
194,250642,Castellar de la Ribera,4,2001,18
195,080522,Castellar de n'Hug,7,2001,49
196,080500,Castellar del Riu,4,2001,26
197,080517,Castellar del Vallès,438,2001,5485
198,080538,Castellbell i el Vilar,135,2001,852
199,080543,Castellbisbal,226,2001,2735
200,080556,Castellcir,19,2001,107
201,250674,Castelldans,18,2001,327
202,080569,Castelldefels,2638,2001,13308
203,080581,Castellet i la Gornal,36,2001,492
204,170464,Castellfollit de la Roca,59,2001,295
205,080608,Castellfollit de Riubregós,5,2001,61
206,080594,Castellfollit del Boix,15,2001,104
207,080615,Castellgalí,34,2001,288
208,080620,Castellnou de Bages,5,2001,192
209,250680,Castellnou de Seana,18,2001,173
210,170470,Castelló d'Empúries,505,2001,1725
211,250693,Castelló de Farfanya,4,2001,191
212,080636,Castellolí,20,2001,111
213,170486,Castell-Platja d'Aro,447,2001,2168
214,250707,Castellserà,18,2001,324
215,080641,Castellterçol,121,2001,567
216,430424,Castellvell del Camp,5,2001,465
217,080654,Castellví de la Marca,41,2001,366
218,080667,Castellví de Rosanes,27,2001,310
219,430430,"Catllar, el",55,2001,785
220,250714,Cava,0,2001,23
221,171899,"Cellera de Ter, la",73,2001,581
222,170499,Celrà,164,2001,717
223,080673,Centelles,266,2001,1618
224,082687,Cercs,127,2001,402
225,082665,Cerdanyola del Vallès,1484,2001,16193
226,080689,Cervelló,171,2001,1824
227,250729,Cervera,484,2001,2124
228,250735,Cervià de les Garrigues,11,2001,298
229,170502,Cervià de Ter,18,2001,200
230,170519,Cistella,13,2001,62
231,250740,Ciutadilla,4,2001,68
232,250753,Clariana de Cardener,4,2001,19
233,250766,"Cogul, el",1,2001,79
234,170545,Colera,35,2001,146
235,250772,Coll de Nargó,15,2001,198
236,080692,Collbató,67,2001,802
237,430458,Colldejou,1,2001,54
238,080706,Collsuspina,20,2001,67
239,170558,Colomers,11,2001,61
240,251636,"Coma i la Pedra, la",7,2001,82
241,251615,Conca de Dalt,6,2001,151
242,430461,Conesa,2,2001,51
243,430477,Constantí,161,2001,1435
244,080713,Copons,18,2001,93
245,430483,Corbera d'Ebre,20,2001,300
246,080728,Corbera de Llobregat,419,2001,2660
247,250788,Corbins,11,2001,300
248,170577,Corçà,34,2001,338
249,080734,Cornellà de Llobregat,3779,2001,24302
250,170561,Cornellà del Terri,49,2001,524
251,430496,Cornudella de Montsant,28,2001,288
252,430509,Creixell,49,2001,731
253,170583,Crespià,16,2001,57
254,179011,"Cruïlles, Monells i Sant Sadurní de l'Heura",42,2001,309
255,080749,Cubelles,257,2001,2502
256,250791,Cubells,4,2001,107
257,430516,Cunit,177,2001,2372
258,170600,Darnius,32,2001,156
259,170617,Das,14,2001,36
260,439018,Deltebre,96,2001,3062
261,080752,Dosrius,96,2001,915
262,430537,Duesaigües,6,2001,67
263,170622,"Escala, l'",291,2001,1884
264,080765,Esparreguera,748,2001,5455
265,170638,Espinelves,14,2001,48
266,250812,"Espluga Calba, l'",16,2001,119
267,430542,"Espluga de Francolí, l'",127,2001,996
268,080771,Esplugues de Llobregat,2234,2001,12820
269,170643,Espolla,9,2001,116
270,170656,Esponellà,20,2001,82
271,250827,Espot,16,2001,94
272,080787,"Espunyola, l'",16,2001,52
273,082541,"Esquirol, l'",112,2001,538
274,250886,Estamariu,0,2001,40
275,080790,"Estany, l'",18,2001,114
276,250851,Estaràs,1,2001,58
277,250864,Esterri d'Àneu,33,2001,188
278,250870,Esterri de Cardós,3,2001,21
279,430555,Falset,119,2001,721
280,170059,"Far d'Empordà, el",9,2001,118
281,250899,Farrera,3,2001,36
282,430568,"Fatarella, la",2,2001,408
283,430574,"Febró, la",2,2001,21
284,081347,Figaró-Montmany,104,2001,152
285,080804,Fígols,4,2001,17
286,259084,Fígols i Alinyà,4,2001,94
287,430580,"Figuera, la",3,2001,42
288,170669,Figueres,2959,2001,8827
289,430593,Figuerola del Camp,6,2001,97
290,170675,Flaçà,39,2001,264
291,430607,Flix,171,2001,1067
292,250925,"Floresta, la",4,2001,62
293,080826,Fogars de la Selva,29,2001,253
294,080811,Fogars de Montclús,39,2001,69
295,170681,Foixà,14,2001,91
296,080832,Folgueroles,57,2001,491
297,250931,Fondarella,1,2001,195
298,080847,Fonollosa,13,2001,262
299,170694,Fontanals de Cerdanya,22,2001,104
300,170708,Fontanilles,4,2001,34
301,170715,Fontcoberta,20,2001,320
302,080850,Font-rubí,38,2001,355
303,250946,Foradada,2,2001,50
304,179026,Forallac,68,2001,404
305,430614,Forès,0,2001,24
306,170736,Fornells de la Selva,32,2001,444
307,170741,Fortià,13,2001,161
308,080863,"Franqueses del Vallès, les",582,2001,3641
309,430629,Freginals,10,2001,110
310,250962,"Fuliola, la",15,2001,375
311,250978,Fulleda,1,2001,36
312,080902,Gaià,14,2001,29
313,430635,"Galera, la",25,2001,226
314,080879,Gallifa,7,2001,47
315,430640,Gandesa,92,2001,723
316,430653,Garcia,11,2001,177
317,430666,"Garidells, els",3,2001,53
318,080885,"Garriga, la",627,2001,3334
319,170754,Garrigàs,16,2001,74
320,170767,Garrigoles,7,2001,45
321,170773,Garriguella,36,2001,205
322,080898,Gavà,1193,2001,12106
323,250984,Gavet de la Conca,3,2001,95
324,080919,Gelida,364,2001,1161
325,170789,Ger,10,2001,131
326,259123,Gimenells i el Pla de la Font,4,2001,312
327,430672,Ginestar,15,2001,257
328,170792,Girona,4289,2001,22145
329,080924,Gironella,470,2001,1203
330,080930,Gisclareny,2,2001,10
331,430688,Godall,17,2001,221
332,250997,Golmés,31,2001,390
333,170806,Gombrèn,21,2001,62
334,251001,Gósol,12,2001,74
335,080945,"Granada, la",35,2001,401
336,251018,"Granadella, la",17,2001,259
337,080958,Granera,2,2001,21
338,251023,"Granja d'Escarp, la",21,2001,339
339,080961,Granollers,2488,2001,15559
340,251039,Granyanella,2,2001,47
341,251057,Granyena de les Garrigues,0,2001,61
342,251044,Granyena de Segarra,2,2001,52
343,430691,Gratallops,4,2001,59
344,080977,Gualba,63,2001,215
345,170813,Gualta,19,2001,73
346,080996,Guardiola de Berguedà,83,2001,241
347,430705,"Guiamets, els",7,2001,95
348,170828,Guils de Cerdanya,31,2001,88
349,251095,Guimerà,9,2001,130
350,259031,"Guingueta d'Àneu, la",12,2001,116
351,251109,Guissona,260,2001,892
352,251116,Guixers,26,2001,30
353,081000,Gurb,38,2001,495
354,430712,Horta de Sant Joan,23,2001,393
355,081017,"Hospitalet de Llobregat, l'",14270,2001,71378
356,081629,"Hostalets de Pierola, els",67,2001,435
357,170834,Hostalric,174,2001,790
358,081022,Igualada,2337,2001,9054
359,251155,Isona i Conca Dellà,32,2001,350
360,170849,Isòvol,14,2001,58
361,251137,Ivars d'Urgell,32,2001,486
362,251121,Ivars de Noguera,4,2001,82
363,251142,Ivorra,5,2001,39
364,170852,Jafre,8,2001,105
365,170865,"Jonquera, la",232,2001,639
366,081038,Jorba,27,2001,163
367,259101,Josa i Tuixén,4,2001,52
368,170871,Juià,13,2001,71
369,251180,Juncosa,10,2001,175
370,251193,Juneda,77,2001,828
371,251214,Les,48,2001,171
372,251229,Linyola,35,2001,696
373,081043,"Llacuna, la",58,2001,225
374,170887,Lladó,27,2001,146
375,251235,Lladorre,7,2001,78
376,251240,Lladurs,10,2001,31
377,081056,"Llagosta, la",347,2001,3771
378,170890,Llagostera,388,2001,2758
379,170904,Llambilles,16,2001,87
380,170911,Llanars,36,2001,145
381,170926,Llançà,168,2001,1262
382,251253,Llardecans,6,2001,201
383,251266,Llavorsí,13,2001,96
384,251207,Lleida,5499,2001,33577
385,170932,Llers,31,2001,285
386,251272,Lles de Cerdanya,22,2001,75
387,081075,Lliçà d'Amunt,151,2001,3141
388,081081,Lliçà de Vall,34,2001,1543
389,251288,Llimiana,3,2001,56
390,081069,Llinars del Vallès,474,2001,1815
391,170947,Llívia,82,2001,297
392,430727,"Lloar, el",1,2001,40
393,251291,Llobera,3,2001,31
394,430733,Llorac,2,2001,34
395,430748,Llorenç del Penedès,34,2001,480
396,170950,Lloret de Mar,1419,2001,5744
397,170963,"Llosses, les",55,2001,37
398,081094,Lluçà,19,2001,63
399,171024,Maçanet de Cabrenys,60,2001,201
400,171030,Maçanet de la Selva,101,2001,1251
401,170979,Madremanya,9,2001,58
402,170985,Maià de Montcal,41,2001,75
403,251333,Maials,6,2001,335
404,251305,Maldà,3,2001,101
405,081108,Malgrat de Mar,594,2001,4257
406,081115,Malla,9,2001,27
407,081120,Manlleu,795,2001,4874
408,081136,Manresa,5770,2001,17621
409,430764,Marçà,23,2001,207
410,430751,Margalef,3,2001,44
411,082423,Marganell,9,2001,70
412,081141,Martorell,1046,2001,6810
413,081154,Martorelles,262,2001,1333
414,430770,Mas de Barberans,10,2001,213
415,171002,Masarac,2,2001,66
416,430786,Masdenverge,24,2001,272
417,081167,"Masies de Roda, les",14,2001,199
418,081173,"Masies de Voltregà, les",93,2001,817
419,430799,Masllorenç,19,2001,121
420,081189,"Masnou, el",1509,2001,5543
421,430803,"Masó, la",1,2001,78
422,430810,Maspujols,7,2001,157
423,081192,Masquefa,161,2001,1749
424,430825,"Masroig, el",20,2001,156
425,251312,Massalcoreig,8,2001,165
426,171019,Massanes,21,2001,163
427,251327,Massoteres,8,2001,52
428,081206,Matadepera,233,2001,1726
429,081213,Mataró,5221,2001,31337
430,081228,Mediona,90,2001,469
431,251348,Menàrguens,12,2001,245
432,170998,Meranges,1,2001,28
433,171058,Mieres,33,2001,67
434,430831,"Milà, el",2,2001,49
435,251351,Miralcamp,9,2001,369
436,430846,Miravet,19,2001,253
437,081385,Moià,334,2001,1083
438,430859,"Molar, el",3,2001,103
439,081234,Molins de Rei,946,2001,6121
440,251370,Mollerussa,304,2001,2937
441,171061,Mollet de Peralada,6,2001,59
442,081249,Mollet del Vallès,1453,2001,14790
443,171077,Molló,16,2001,92
444,251364,"Molsosa, la",0,2001,24
445,081287,Monistrol de Calders,18,2001,157
446,081271,Monistrol de Montserrat,194,2001,645
447,171096,Montagut i Oix,54,2001,225
448,430862,Montblanc,245,2001,1840
449,430884,Montbrió del Camp,78,2001,301
450,081252,Montcada i Reixac,1092,2001,8452
451,081304,Montclar,4,2001,23
452,251399,Montellà i Martinet,49,2001,146
453,081311,Montesquiu,92,2001,203
454,251403,Montferrer i Castellbò,24,2001,212
455,430897,Montferri,3,2001,57
456,251386,Montgai,13,2001,256
457,081265,Montgat,455,2001,2463
458,081326,Montmajor,33,2001,100
459,081332,Montmaneu,5,2001,48
460,430901,"Montmell, el",5,2001,252
461,081350,Montmeló,372,2001,2468
462,251425,Montoliu de Lleida,4,2001,133
463,251410,Montoliu de Segarra,1,2001,59
464,251431,Montornès de Segarra,1,2001,36
465,081363,Montornès del Vallès,420,2001,3905
466,430918,Mont-ral,1,2001,53
467,171100,Mont-ras,27,2001,277
468,430923,Mont-roig del Camp,283,2001,2069
469,081379,Montseny,23,2001,61
470,430939,Móra d'Ebre,183,2001,1283
471,430944,Móra la Nova,197,2001,742
472,430957,"Morell, el",102,2001,627
473,430960,"Morera de Montsant, la",7,2001,44
474,081290,Muntanyola,22,2001,96
475,081398,Mura,13,2001,65
476,251459,Nalec,0,2001,34
477,250254,Naut Aran,50,2001,406
478,081402,Navarcles,203,2001,1443
479,081419,Navàs,340,2001,1492
480,171117,Navata,44,2001,215
481,251462,Navès,16,2001,53
482,081424,"Nou de Berguedà, la",11,2001,31
483,430976,"Nou de Gaià, la",15,2001,113
484,430982,Nulles,9,2001,118
485,251484,Odèn,3,2001,61
486,081430,Òdena,77,2001,767
487,171122,Ogassa,26,2001,78
488,081458,Olèrdola,68,2001,702
489,081461,Olesa de Bonesvalls,28,2001,323
490,081477,Olesa de Montserrat,610,2001,5358
491,251497,Oliana,68,2001,527
492,251500,Oliola,7,2001,69
493,251517,Olius,13,2001,140
494,081483,Olivella,27,2001,499
495,081496,Olost,56,2001,298
496,171143,Olot,2401,2001,7673
497,251522,"Oluges, les",0,2001,57
498,081445,Olvan,41,2001,264
499,251538,"Omellons, els",1,2001,86
500,251543,"Omells de na Gaia, els",0,2001,56
501,171156,Ordis,13,2001,96
502,251556,Organyà,79,2001,281
503,081509,Orís,21,2001,47
504,081516,Oristà,30,2001,142
505,081521,Orpí,4,2001,46
506,081537,Òrrius,46,2001,108
507,251569,Os de Balaguer,11,2001,251
508,171169,Osor,13,2001,63
509,251575,Ossó de Sió,3,2001,66
510,081542,Pacs del Penedès,32,2001,182
511,081555,Palafolls,82,2001,1837
512,171175,Palafrugell,758,2001,5404
513,171181,Palamós,839,2001,4246
514,251581,"Palau d'Anglesola, el",18,2001,437
515,171194,Palau de Santa Eulàlia,1,2001,30
516,171215,Palau-sator,9,2001,59
517,171208,Palau-saverdera,39,2001,277
518,081568,Palau-solità i Plegamans,397,2001,3091
519,431009,"Pallaresos, els",18,2001,843
520,081574,Pallejà,192,2001,2560
521,430995,"Palma d'Ebre, la",4,2001,127
522,089058,"Palma de Cervelló, la",127,2001,760
523,171236,Palol de Revardit,9,2001,89
524,171241,Pals,76,2001,698
525,081580,"Papiol, el",128,2001,972
526,171254,Pardines,4,2001,46
527,081593,Parets del Vallès,501,2001,4458
528,171267,Parlavà,7,2001,100
529,431016,Passanant i Belltall,4,2001,79
530,171289,Pau,20,2001,127
531,431021,Paüls,5,2001,192
532,171292,Pedret i Marzà,4,2001,41
533,251641,Penelles,7,2001,136
534,171306,"Pera, la",14,2001,107
535,081607,Perafita,28,2001,100
536,431037,Perafort,14,2001,191
537,171328,Peralada,64,2001,345
538,251654,Peramola,12,2001,97
539,431042,"Perelló, el",60,2001,707
540,081614,Piera,295,2001,2966
541,431055,"Piles, les",3,2001,60
542,081635,Pineda de Mar,777,2001,6414
543,431068,"Pinell de Brai, el",18,2001,305
544,251667,Pinell de Solsonès,2,2001,38
545,251673,Pinós,8,2001,59
546,431074,Pira,6,2001,151
547,431080,"Pla de Santa Maria, el",23,2001,534
548,081640,"Pla del Penedès, el",38,2001,251
549,171334,"Planes d'Hostoles, les",76,2001,507
550,171349,Planoles,26,2001,78
551,259118,"Plans de Sió, els",7,2001,159
552,251689,"Poal, el",9,2001,189
553,251692,"Pobla de Cérvoles, la",0,2001,92
554,081653,"Pobla de Claramunt, la",113,2001,487
555,081666,"Pobla de Lillet, la",131,2001,368
556,431093,"Pobla de Mafumet, la",27,2001,354
557,431107,"Pobla de Massaluca, la",4,2001,131
558,431114,"Pobla de Montornès, la",48,2001,529
559,251713,"Pobla de Segur, la",215,2001,829
560,431129,Poboleda,8,2001,111
561,081672,Polinyà,98,2001,1614
562,431135,"Pont d'Armentera, el",19,2001,177
563,250306,"Pont de Bar, el",2,2001,61
564,171352,Pont de Molins,21,2001,128
565,251734,"Pont de Suert, el",61,2001,687
566,081825,"Pont de Vilomara i Rocafort, el",136,2001,756
567,431418,Pontils,2,2001,36
568,081688,Pontons,30,2001,117
569,171365,Pontós,18,2001,64
570,251728,Ponts,157,2001,616
571,171371,Porqueres,54,2001,1043
572,431140,Porrera,15,2001,154
573,171404,"Port de la Selva, el",37,2001,238
574,171387,Portbou,149,2001,395
575,251749,"Portella, la",5,2001,175
576,431153,Pradell de la Teixeta,1,2001,68
577,431166,Prades,30,2001,173
578,431172,Prat de Comte,2,2001,68
579,081691,"Prat de Llobregat, el",2274,2001,18326
580,431188,Pratdip,10,2001,196
581,081712,Prats de Lluçanès,145,2001,693
582,081705,"Prats de Rei, els",28,2001,154
583,251752,Prats i Sansor,16,2001,53
584,251765,Preixana,3,2001,130
585,251771,Preixens,7,2001,147
586,082303,Premià de Dalt,287,2001,2515
587,081727,Premià de Mar,1530,2001,7283
588,171390,"Preses, les",65,2001,404
589,251790,Prullans,14,2001,59
590,171411,Puigcerdà,974,2001,1530
591,081748,Puigdàlber,14,2001,96
592,251804,Puiggròs,0,2001,74
593,431191,Puigpelat,12,2001,182
594,081751,Puig-reig,297,2001,1149
595,251811,Puigverd d'Agramunt,7,2001,79
596,251826,Puigverd de Lleida,9,2001,355
597,081764,Pujalt,1,2001,53
598,081770,"Quar, la",11,2001,7
599,171426,Quart,97,2001,619
600,170433,Queralbs,6,2001,62
601,431205,Querol,7,2001,112
602,171432,Rabós,4,2001,61
603,081786,Rajadell,23,2001,106
604,431212,Rasquera,9,2001,261
605,171447,Regencós,6,2001,90
606,081799,Rellinars,7,2001,126
607,431227,Renau,4,2001,20
608,431233,Reus,3901,2001,26329
609,251832,Rialp,29,2001,154
610,431248,"Riba, la",91,2001,144
611,431251,Riba-roja d'Ebre,29,2001,441
612,259059,Ribera d'Ondara,11,2001,126
613,251850,Ribera d'Urgellet,26,2001,242
614,171450,Ribes de Freser,206,2001,530
615,171463,Riells i Viabrea,31,2001,742
616,431264,"Riera de Gaià, la",44,2001,301
617,251863,Riner,13,2001,45
618,171479,Ripoll,1034,2001,2884
619,081803,Ripollet,923,2001,9362
620,259139,Riu de Cerdanya,7,2001,21
621,171485,Riudarenes,57,2001,404
622,171498,Riudaura,36,2001,101
623,431270,Riudecanyes,20,2001,254
624,431286,Riudecols,57,2001,276
625,171501,Riudellots de la Selva,38,2001,424
626,431299,Riudoms,279,2001,1380
627,171518,Riumors,9,2001,65
628,081810,"Roca del Vallès, la",288,2001,2186
629,431303,Rocafort de Queralt,12,2001,95
630,431310,Roda de Berà,100,2001,1321
631,081831,Roda de Ter,196,2001,1404
632,431325,Rodonyà,16,2001,131
633,431331,Roquetes,257,2001,1976
634,171523,Roses,1116,2001,3439
635,251898,Rosselló,19,2001,544
636,431346,"Rourell, el",6,2001,88
637,081846,Rubí,1817,2001,18523
638,081859,Rubió,1,2001,30
639,171539,Rupià,10,2001,56
640,089019,Rupit i Pruit,32,2001,82
641,081878,Sabadell,5267,2001,58177
642,081884,Sagàs,10,2001,26
643,251902,Salàs de Pallars,11,2001,112
644,081901,Saldes,25,2001,77
645,171544,Sales de Llierca,11,2001,22
646,081918,Sallent,409,2001,1970
647,431359,Salomó,6,2001,140
648,439057,Salou,976,2001,4307
649,171557,Salt,688,2001,6627
650,251919,Sanaüja,8,2001,149
651,081944,Sant Adrià de Besòs,1271,2001,9494
652,081957,Sant Agustí de Lluçanès,9,2001,17
653,081960,Sant Andreu de la Barca,747,2001,6679
654,081976,Sant Andreu de Llavaneres,397,2001,2087
655,171576,Sant Andreu Salou,3,2001,40
656,171833,Sant Aniol de Finestres,27,2001,63
657,081982,Sant Antoni de Vilamajor,115,2001,1101
658,081995,Sant Bartomeu del Grau,34,2001,169
659,082009,Sant Boi de Llobregat,2081,2001,23977
660,082016,Sant Boi de Lluçanès,37,2001,111
661,431362,Sant Carles de la Ràpita,413,2001,3362
662,082037,Sant Cebrià de Vallalta,39,2001,647
663,082021,Sant Celoni,679,2001,3421
664,082042,Sant Climent de Llobregat,109,2001,887
665,171582,Sant Climent Sescebes,14,2001,126
666,082055,Sant Cugat del Vallès,3374,2001,15597
667,082068,Sant Cugat Sesgarrigues,15,2001,203
668,251961,Sant Esteve de la Sarga,2,2001,46
669,082074,Sant Esteve de Palautordera,101,2001,379
670,082080,Sant Esteve Sesrovires,144,2001,1500
671,171595,Sant Feliu de Buixalleu,30,2001,207
672,082107,Sant Feliu de Codines,369,2001,1064
673,171609,Sant Feliu de Guíxols,903,2001,5197
674,082114,Sant Feliu de Llobregat,1353,2001,12188
675,171616,Sant Feliu de Pallerols,65,2001,343
676,082129,Sant Feliu Sasserra,27,2001,169
677,171621,Sant Ferriol,17,2001,44
678,082093,Sant Fost de Campsentelles,122,2001,1940
679,082135,Sant Fruitós de Bages,183,2001,1726
680,171637,Sant Gregori,117,2001,638
681,251924,Sant Guim de Freixenet,62,2001,269
682,251977,Sant Guim de la Plana,1,2001,44
683,171642,Sant Hilari Sacalm,300,2001,1375
684,082153,Sant Hipòlit de Voltregà,156,2001,844
685,081939,Sant Iscle de Vallalta,40,2001,282
686,439023,Sant Jaume d'Enveja,33,2001,1023
687,082166,Sant Jaume de Frontanyà,4,2001,6
688,171655,Sant Jaume de Llierca,33,2001,227
689,431378,Sant Jaume dels Domenys,42,2001,455
690,171674,Sant Joan de les Abadesses,341,2001,923
691,171680,Sant Joan de Mollet,8,2001,124
